customer_id,name,account_type,balance,status
1,Cust1,Current,165918.22,Active
2,Cust2,Savings,27670.66,Inactive
3,Cust3,Current,9212.44,Active
4,Cust4,Savings,17399.88,Active
5,Cust5,Current,102376.71,Active
6,Cust6,Savings,29384.98,Active
7,Cust7,Current,124078.56,Active
8,Cust8,Savings,196869.17,Active
9,Cust9,Current,162380.96,Active
10,Cust10,Savings,10486.83,Active
11,Cust11,Current,14173.35,Inactive
12,Cust12,Savings,167731.18,Active
13,Cust13,Current,98123.46,Active
14,Cust14,Savings,9037.57,Inactive
15,Cust15,Current,53463.85,Active
16,Cust16,Savings,61716.2,Active
17,Cust17,Current,57877.65,Active
18,Cust18,Savings,127046.14,Active
19,Cust19,Current,167715.23,Active
20,Cust20,Savings,37371.02,Active
21,Cust21,Current,43867.01,Active
22,Cust22,Savings,106824.91,Active
23,Cust23,Current,86056.77,Active
24,Cust24,Savings,49342.31,Active
25,Cust25,Current,199747.99,Active
26,Cust26,Savings,107795.47,Active
27,Cust27,Current,75223.62,Active
28,Cust28,Savings,3727.05,Active
29,Cust29,Current,34606.72,Active
30,Cust30,Savings,176042.92,Active
31,Cust31,Current,50045.54,Active
32,Cust32,Savings,22686.44,Active
33,Cust33,Current,121156.45,Inactive
34,Cust34,Savings,126068.22,Active
35,Cust35,Current,178122.88,Active
36,Cust36,Savings,159512.99,Active
37,Cust37,Current,12620.97,Active
38,Cust38,Savings,81221.57,Active
39,Cust39,Current,142258.88,Active
40,Cust40,Savings,73651.95,Active
41,Cust41,Current,115715.55,Active
42,Cust42,Savings,121525.09,Active
43,Cust43,Current,118851.55,Active
44,Cust44,Savings,127105.32,Active
45,Cust45,Current,178921.21,Active
46,Cust46,Savings,5827.6,Inactive
47,Cust47,Current,5628.98,Active
48,Cust48,Savings,136204.77,Active
49,Cust49,Current,101273.99,Active
50,Cust50,Savings,112859.35,Inactive
51,Cust51,Current,55359.99,Active
52,Cust52,Savings,52019.14,Active
53,Cust53,Current,128924.86,Active
54,Cust54,Savings,194709.63,Active
55,Cust55,Current,139024.06,Active
56,Cust56,Savings,175093.55,Active
57,Cust57,Current,143104.05,Active
58,Cust58,Savings,111981.11,Active
59,Cust59,Current,168858.79,Active
60,Cust60,Savings,86184.62,Active
61,Cust61,Current,96587.5,Active
62,Cust62,Savings,7591.27,Active
63,Cust63,Current,111930.19,Active
64,Cust64,Savings,128064.0,Inactive
65,Cust65,Current,4929.81,Active
66,Cust66,Savings,180084.19,Active
67,Cust67,Current,101278.09,Active
68,Cust68,Savings,94819.01,Active
69,Cust69,Current,154177.26,Active
70,Cust70,Savings,94285.36,Active
71,Cust71,Current,56195.75,Inactive
72,Cust72,Savings,186892.52,Active
73,Cust73,Current,117750.21,Active
74,Cust74,Savings,107235.84,Active
75,Cust75,Current,85867.72,Inactive
76,Cust76,Savings,83833.84,Active
77,Cust77,Current,29255.35,Active
78,Cust78,Savings,148956.97,Active
79,Cust79,Current,69239.14,Active
80,Cust80,Savings,137092.32,Active
81,Cust81,Current,127469.41,Active
82,Cust82,Savings,101969.15,Inactive
83,Cust83,Current,157325.17,Active
84,Cust84,Savings,171830.89,Active
85,Cust85,Current,169573.53,Active
86,Cust86,Savings,103630.76,Active
87,Cust87,Current,61523.52,Active
88,Cust88,Savings,97944.85,Inactive
89,Cust89,Current,171142.11,Active
90,Cust90,Savings,72851.03,Active
91,Cust91,Current,35709.85,Active
92,Cust92,Savings,3101.79,Active
93,Cust93,Current,192958.78,Active
94,Cust94,Savings,127029.87,Inactive
95,Cust95,Current,162320.33,Active
96,Cust96,Savings,127680.62,Active
97,Cust97,Current,36341.78,Active
98,Cust98,Savings,47440.79,Active
99,Cust99,Current,185059.6,Active
100,Cust100,Savings,149492.18,Inactive
101,Cust101,Current,35700.2,Active
102,Cust102,Savings,16840.07,Active
103,Cust103,Current,137530.79,Active
104,Cust104,Savings,138796.29,Active
105,Cust105,Current,105850.49,Active
106,Cust106,Savings,158908.27,Active
107,Cust107,Current,128387.02,Active
108,Cust108,Savings,56928.04,Active
109,Cust109,Current,59031.55,Active
110,Cust110,Savings,118109.45,Active
111,Cust111,Current,105946.47,Inactive
112,Cust112,Savings,71328.21,Active
113,Cust113,Current,5668.39,Active
114,Cust114,Savings,122953.75,Active
115,Cust115,Current,128573.63,Active
116,Cust116,Savings,23513.32,Active
117,Cust117,Current,30170.38,Active
118,Cust118,Savings,94541.73,Active
119,Cust119,Current,932.1,Active
120,Cust120,Savings,48527.03,Active
121,Cust121,Current,142021.48,Active
122,Cust122,Savings,117971.72,Active
123,Cust123,Current,167942.05,Active
124,Cust124,Savings,192141.37,Active
125,Cust125,Current,81668.71,Active
126,Cust126,Savings,158880.78,Active
127,Cust127,Current,140313.81,Active
128,Cust128,Savings,179669.43,Active
129,Cust129,Current,161179.41,Inactive
130,Cust130,Savings,169046.49,Active
131,Cust131,Current,153509.18,Active
132,Cust132,Savings,181454.29,Active
133,Cust133,Current,183586.52,Active
134,Cust134,Savings,138548.07,Active
135,Cust135,Current,137233.99,Active
136,Cust136,Savings,86289.39,Active
137,Cust137,Current,181768.93,Inactive
138,Cust138,Savings,98473.01,Active
139,Cust139,Current,81188.65,Active
140,Cust140,Savings,32360.68,Active
141,Cust141,Current,169226.9,Active
142,Cust142,Savings,165528.11,Active
143,Cust143,Current,22272.97,Active
144,Cust144,Savings,51103.5,Active
145,Cust145,Current,44088.44,Active
146,Cust146,Savings,73347.03,Active
147,Cust147,Current,69348.42,Active
148,Cust148,Savings,140227.71,Inactive
149,Cust149,Current,124195.41,Active
150,Cust150,Savings,139636.32,Active
151,Cust151,Current,872.84,Active
152,Cust152,Savings,77271.21,Active
153,Cust153,Current,109192.61,Active
154,Cust154,Savings,7711.41,Active
155,Cust155,Current,92459.42,Active
156,Cust156,Savings,186746.71,Active
157,Cust157,Current,34264.03,Active
158,Cust158,Savings,103841.7,Active
159,Cust159,Current,194268.28,Active
160,Cust160,Savings,132038.43,Active
161,Cust161,Current,179058.59,Active
162,Cust162,Savings,72187.19,Active
